x,y,z
581536.59,5244599.62,1858.75
581538.1981958995,5244597.254744277,1854.8890037575043
581539.6427518048,5244591.669818369,1845.7026718087106
581545.6600458043,5244579.520202801,1836.2929103124707
581549.9895949359,5244575.126461306,1832.5679692722504
581564.4771092961,5244565.923903177,1829.8753650045387
581573.4411109762,5244554.3187768245,1827.3987758720236
581587.0824652225,5244532.818213359,1823.5447136831338
581593.0177140686,5244525.833377982,1822.208030664198
581598.3657505471,5244514.8264256185,1820.2341513201322
581604.9243857122,5244500.965604694,1816.869926845349
581615.1726224856,5244480.179385676,1812.788896489844
581624.9428176378,5244470.802266394,1809.741079010911
581628.2795231901,5244465.202401191,1809.0354269631325
581634.3012622676,5244450.145497336,1805.980328808198
581646.4597838719,5244433.889647193,1802.0500169410598
581657.9009784459,5244424.681717992,1798.5233423749291
581668.0848425578,5244415.690456801,1796.4660168041603
581676.8808011087,5244408.844275885,1794.8756373559431
581699.6526640479,5244392.0516985115,1791.447797335908
581721.1793280697,5244374.1431073155,1788.7106076297955
581732.2542883096,5244362.444690418,1786.3072740190419
581740.648140881,5244356.551959752,1784.6207452518238
581754.8583149614,5244338.687942305,1781.8139527737599
581759.9443055673,5244331.399285895,1780.3379880702646
581770.4945479365,5244321.482467907,1779.4741597595566
581780.4502737782,5244314.761884084,1777.4122061483868
581792.6202107676,5244302.094771156,1772.9100201031292
581796.3887800466,5244296.769762321,1771.0594939610655
581805.402920767,5244289.813811932,1770.291382585831
581819.0040250556,5244289.316360083,1769.0381619746317
581830.4471543947,5244280.592590373,1767.054657566052
581850.2239267932,5244246.636969368,1761.2985131766502
581869.8653654607,5244216.6952501675,1758.4244175950255
581885.2541816628,5244200.294045723,1757.3237744322562
581906.2366320079,5244188.160231299,1753.5730527244
581928.0660364241,5244176.018577022,1748.5976355926364
581934.3875426864,5244172.943242988,1745.6090123343815
581953.4594015565,5244162.497043621,1743.7906947265851
581971.7792224097,5244157.087663453,1740.986044727505
581987.4630423805,5244148.318134365,1737.543668023335
582002.3341938937,5244142.780788861,1735.9223106793966
582022.6365842291,5244134.545793837,1734.34051228423
582028.1622002433,5244134.183069467,1733.4108116592718
582044.2407878005,5244128.286234462,1731.5659790809807
582058.0798350169,5244123.539892905,1728.9895286642547
582069.5117850145,5244115.899719588,1726.2009910014149
582088.667843821,5244109.31582123,1723.049498670122
582097.5984984336,5244106.629242167,1722.0119672176938
582106.4332580217,5244101.532333597,1719.503552654725
582109.9190380139,5244091.296761102,1717.8110622518516
582120.0738180424,5244084.504407707,1715.8452566849705
582123.9486127357,5244078.767301577,1714.4722673658152
582123.4951572212,5244067.557254019,1712.2732474808709
582132.1145525046,5244059.002593859,1710.7175648223056
582136.502371579,5244050.935053714,1708.753905072092
582148.1289341341,5244043.077760259,1706.0483224489135
582152.650536065,5244042.456601009,1704.8949768161215
582169.8391078197,5244035.734917878,1702.728106352214
582187.6449446181,5244030.806067962,1699.434412967888
582198.3576901652,5244026.005494077,1698.033946643068
582227.8366546122,5244011.8270292785,1697.1926965541575
582234.429222965,5244010.614477079,1695.4542832472912
